source,relation,target
巨型舞台结构坠落压覆多车,mitigates,依据《中华人民共和国道路交通安全法》第三十九条紧急封控现场+按《国家交通应急预案》第二章调派城市抢险队+分批疏散人群+拆解倒塌结构
山区玻璃钢材运输车起火释放有毒烟雾,leads_to,树脂燃烧产生有毒浓烟覆盖隧道口
树脂燃烧产生有毒浓烟覆盖隧道口,results_in,能见度降至零+4人中毒+道路中断
树脂燃烧产生有毒浓烟覆盖隧道口,mitigates,依据《中华人民共和国道路交通安全法》第四十二条封闭隧道+依照《国家交通应急预案》第四章调配防毒消防力量+实施定向排烟+为村落发放防毒面具
高速路段遭蝗虫群遮挡致视野为零,leads_to,车流盲驶并发生多车追尾
车流盲驶并发生多车追尾,results_in,15人受伤+道路拥堵10公里
车流盲驶并发生多车追尾,mitigates,依据《中华人民共和国道路交通安全法》第六十八条立即限速与分流+参考《国家交通应急预案》第七章联动农业与交通部门驱散虫群+铺设防滑垫+开辟应急停车带
机场高速应急迫降直升机与车流刮擦,leads_to,直升机迫降阻断双向车道并引发燃油泄漏
直升机迫降阻断双向车道并引发燃油泄漏,results_in,机场高速封闭+航班地面保障延误+4人受伤
直升机迫降阻断双向车道并引发燃油泄漏,mitigates,依据《中华人民共和国道路交通安全法》第四十三条划设飞行安全隔离区+依据《国家交通应急预案》第六章协调民航与地面救援力量+实施燃油回收+建立临时绕行线
跨江隧道排水泵失效导致隧道迅速进水,leads_to,积水倒灌覆盖车顶并困住数十车辆
积水倒灌覆盖车顶并困住数十车辆,results_in,乘客被困+设备失灵+交通中断
积水倒灌覆盖车顶并困住数十车辆,mitigates,依据《中华人民共和国道路交通安全法》第四十二条封闭隧道交通+按《国家交通应急预案》第七章启动防汛排涝应急+投入大功率排水设备+组织水上救援
山区超高压输电塔倒塌压毁高速车道,leads_to,塔体阻断车道并引发电弧
塔体阻断车道并引发电弧,results_in,车流滞留+2人触电伤+山火隐患
塔体阻断车道并引发电弧,mitigates,依据《中华人民共和国道路交通安全法》第四十二条实施山区交通封控+依《国家交通应急预案》第七章协调电力抢修队断电消弧+部署防火隔离带+安排警力分流
高速地下管廊甲烷泄漏引发地面爆炸,leads_to,地面路面掀翻并出现火焰喷射
地面路面掀翻并出现火焰喷射,results_in,3辆车被掀翻+8人烧伤+天然气外泄
地面路面掀翻并出现火焰喷射,mitigates,依据《中华人民共和国道路交通安全法》第三十九条划定爆炸危险警戒区+按《国家交通应急预案》第四章启动城镇燃气事故响应+封堵管廊+疏散周边社区
石化港区罐区火灾蔓延至港区公路车辆,leads_to,火势蔓延引燃停靠危化车队
火势蔓延引燃停靠危化车队,results_in,港区道路封闭+有毒烟羽扩散+多车烧毁
火势蔓延引燃停靠危化车队,mitigates,依据《中华人民共和国道路交通安全法》第四十三条实施港区交通封控+依《国家交通应急预案》第四章调派海陆消防联动+布设泡沫带+引导船舶撤离
高原隧道氧气运输车泄漏导致窒息风险,leads_to,高浓度氧气弥漫引发燃爆隐患
高浓度氧气弥漫引发燃爆隐患,results_in,隧道封闭+4名检修工窒息受伤
高浓度氧气弥漫引发燃爆隐患,mitigates,依据《中华人民共和国道路交通安全法》第四十二条实施隧道封控+依据《国家交通应急预案》第四章调派防爆消防+加强通风稀释+安排医护紧急救治
海边风电场叶片运输车被强阵风吹落砸路,leads_to,叶片坠落阻断沿海国道并损毁车辆
叶片坠落阻断沿海国道并损毁车辆,results_in,3人受伤+沿海国道中断5公里
叶片坠落阻断沿海国道并损毁车辆,mitigates,依据《中华人民共和国道路交通安全法》第四十二条实施沿海国道封闭+按《国家交通应急预案》第七章调度应急吊装车辆+强化风速监测预警+恢复单幅通行
核废物监测车在高架桥上被危化半挂追尾,leads_to,辐射监测设备损坏并疑似放射源暴露
辐射监测设备损坏并疑似放射源暴露,results_in,高架桥封闭+4名作业人员接受医学观察
辐射监测设备损坏并疑似放射源暴露,mitigates,依据《中华人民共和国道路交通安全法》第四十三条设置辐射警戒区+依《国家交通应急预案》第六章请求核应急支持+开展放射性监测+转运涉事车辆
高速收费站人群燃烧轮胎制造烟幕引发拥堵,leads_to,浓烟遮挡收费站视线并导致追尾
浓烟遮挡收费站视线并导致追尾,results_in,7人受伤+交通延误长达3小时
浓烟遮挡收费站视线并导致追尾,mitigates,依据《中华人民共和国道路交通安全法》第六十八条实施交通管制与限流+按《国家交通应急预案》第二章调派治安与消防力量+清除燃烧物+开辟应急车道
城市核心区载有放射源车辆被撞泄漏,leads_to,小型放射源容器破裂并污染路面
小型放射源容器破裂并污染路面,results_in,核心区封闭+大量群众疏散+医疗机构预警
小型放射源容器破裂并污染路面,mitigates,依据《中华人民共和国道路交通安全法》第四十三条划设辐射警戒区+依《国家交通应急预案》第六章调派核应急队伍+实施路面去污+安排群众医学筛查
高速桥面雷击引燃液化气运输车,leads_to,液化气罐瞬间起火并产生爆炸冲击波
液化气罐瞬间起火并产生爆炸冲击波,results_in,桥面损毁+10人受伤+交通中断
液化气罐瞬间起火并产生爆炸冲击波,mitigates,依据《中华人民共和国道路交通安全法》第四十二条实施桥面封闭+参考《国家交通应急预案》第四章调动危化消防+铺设泡沫灭火+检测桥梁结构安全
长江大桥桥面突发下沉导致多车陷落,leads_to,桥面板局部坍塌吞没车辆
桥面板局部坍塌吞没车辆,results_in,多人失踪+跨江交通瘫痪
桥面板局部坍塌吞没车辆,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施跨江交通管制+依《国家交通应急预案》第一章调集桥梁抢险专家组+布设临时浮桥与渡运+开展水下搜救
高速地下隧道电池换电站爆炸,leads_to,换电模块爆炸并引发电池热失控
换电模块爆炸并引发电池热失控,results_in,隧道充电区全毁+20人被困+毒烟扩散
换电模块爆炸并引发电池热失控,mitigates,依据《中华人民共和国道路交通安全法》第四十二条封闭隧道+按《国家交通应急预案》第四章调派消防机器人+运用干粉和水雾联用+安置被困人员
城际快速路自动驾驶物流车队夜间失灵逆行,leads_to,多辆重卡逆行冲入对向车流
多辆重卡逆行冲入对向车流,results_in,13车相撞+9人受伤+交通管制
多辆重卡逆行冲入对向车流,mitigates,依据《中华人民共和国道路交通安全法》第四十四条采取交通封锁与电子围栏+依据《国家交通应急预案》第二章调集车联网技术支援+远程关闭车辆动力+组织拖移
高速枢纽处无人机群坠落砸车,leads_to,无人机残骸散落阻断匝道
无人机残骸散落阻断匝道,results_in,多车损毁+枢纽拥堵+2人受伤
无人机残骸散落阻断匝道,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施枢纽交通疏导+按《国家交通应急预案》第二章协调公安与民航监管部门+清理残骸+恢复通行
山区油页岩运输车翻滚引发山火,leads_to,翻车溢油点燃山林
翻车溢油点燃山林,results_in,山火蔓延+国道封闭+周边村庄疏散
翻车溢油点燃山林,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施国道封控与分流+依《国家交通应急预案》第七章联动森林消防+开辟防火隔离带+转移村民
冰雨天气跨海大桥货车倾覆压公交,leads_to,倾覆货车将公交挤压至护栏
倾覆货车将公交挤压至护栏,results_in,公交乘客受困+桥面湿滑再事故风险
倾覆货车将公交挤压至护栏,mitigates,依据《中华人民共和国道路交通安全法》第三十九条临时封闭桥梁并限行+按《国家交通应急预案》第七章调用除冰与救援力量+实施纤维吊装救援+保障乘客转运
城市快速路地下人防口蒸汽爆炸,leads_to,高温蒸汽喷涌掀翻井盖与车辆
高温蒸汽喷涌掀翻井盖与车辆,results_in,5人烫伤+道路损毁+通信线路中断
高温蒸汽喷涌掀翻井盖与车辆,mitigates,依据《中华人民共和国道路交通安全法》第三十九条封闭受损路段+依《国家交通应急预案》第二章调派市政抢修队+关闭蒸汽源+建立临时交通组织
并行高铁线路旁氯胺运输车撞护栏,leads_to,氯胺泄漏形成有毒气云
氯胺泄漏形成有毒气云,results_in,高速与铁路双向限速+沿线居民疏散
氯胺泄漏形成有毒气云,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施公路临时封控+按《国家交通应急预案》第四章调集防化专业队+开展气体稀释+协调铁路部门限速运营
城市隧道清洗机器人爆炸引燃清洗剂,leads_to,隧道作业区燃烧并释放有毒蒸气
隧道作业区燃烧并释放有毒蒸气,results_in,作业人员受伤+隧道交通中断
隧道作业区燃烧并释放有毒蒸气,mitigates,依据《中华人民共和国道路交通安全法》第四十二条封闭隧道+依《国家交通应急预案》第四章调派防毒消防+实施双向排风+开展职业暴露医疗救治
高速公路氢气无人测试车自燃,leads_to,无人测试车热失控并引发连带车辆起火
无人测试车热失控并引发连带车辆起火,results_in,试验路段封闭+3人受伤
无人测试车热失控并引发连带车辆起火,mitigates,依据《中华人民共和国道路交通安全法》第六十八条实施试验路段封控+按《国家交通应急预案》第四章调度新能源消防装备+切断供氢系统+评估道路安全
山区溶洞坍塌吞没国道车队,leads_to,溶洞塌陷形成落差十米坑洞
溶洞塌陷形成落差十米坑洞,results_in,多辆车坠入+国道中断+土体继续塌陷风险
溶洞塌陷形成落差十米坑洞,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施国道封闭与分流+依《国家交通应急预案》第七章调派地质与工程抢险队+回填加固+转运被困者
跨境口岸液化氨罐车翻覆污染河流,leads_to,液化氨泄漏进入跨境河道
液化氨泄漏进入跨境河道,results_in,口岸交通封闭+边检停办+下游饮水危机
液化氨泄漏进入跨境河道,mitigates,依据《中华人民共和国道路交通安全法》第四十三条实施口岸交通管制+依《国家交通应急预案》第六章启动跨境联合处置+布设拦截设施+通报邻国协同
城市立交下方燃气管道爆裂抬升路面,leads_to,燃气爆炸顶起路面并掀翻车辆
燃气爆炸顶起路面并掀翻车辆,results_in,主干道封闭+多人烧伤+燃气持续泄漏
燃气爆炸顶起路面并掀翻车辆,mitigates,依据《中华人民共和国道路交通安全法》第三十九条实施主干道封控+按《国家交通应急预案》第四章调派燃气抢修队+切断阀门+加强周边疏散
高速长下坡重载无人卡车失控冲击收费站,leads_to,无人卡车冲入收费广场并撞毁收费亭
无人卡车冲入收费广场并撞毁收费亭,results_in,收费站瘫痪+5人受伤+危化货物散落
无人卡车冲入收费广场并撞毁收费亭,mitigates,依据《中华人民共和国道路交通安全法》第四十四条实施入口封闭与逆向截流+依《国家交通应急预案》第二章调动交通科技专家处置无人车+清理散落危化货物
军工高能电池运输车隧道追尾后热失控,leads_to,高能电池集体热失控产生爆炸冲击
高能电池集体热失控产生爆炸冲击,results_in,隧道受损+20人吸入有毒烟气
高能电池集体热失控产生爆炸冲击,mitigates,依据《中华人民共和国道路交通安全法》第四十二条实施隧道封闭与分流+按《国家交通应急预案》第四章调派军工专用排爆队+采用水雾冷却与惰化+安排医疗救治
