id,实体类型,实体名称
MEA_BUDGET_PROPOSAL,措施,提出年度应急经费预算建议
MEA_DUTY_ALARM,措施,开展24小时值班接警
MEA_PROPOSE_WARN_I,措施,提出启动Ⅰ级预警建议
MEA_COLLECT_EVENT_INFO,措施,收集汇总突发事件信息
MEA_DAILY_REPORT,措施,编写应急工作日报
MEA_PROPOSE_RESP_I,措施,提出启动Ⅰ级应急响应建议
MEA_PROFESSIONAL_ADVICE,措施,提供专业咨询
MEA_FIELD_COMMAND,措施,开展现场指挥调度
MEA_TECH_SUPPORT,措施,提供公路交通运输技术支持
MEA_ASSIST_ACCIDENT_RESPONSE,措施,协助处置安全事故
MEA_INTERDEPT_COORDINATION,措施,开展应急协作
MEA_MONITOR_AND_REPORT,措施,开展应急监测和预警信息专项报送
MEA_PREPARE_RESPONSE,措施,开展应急筹备
MEA_PREPARE_REQUISITION,措施,开展应急物资征用准备
MEA_PROPOSE_RESOURCE_REQUISITION,措施,提出应急保障资源征用方案
MEA_REQUISITION_RESOURCE,措施,征用应急保障资源
MEA_START_WARNING_PROCEDURE,措施,启动预警程序
MEA_CALL_NATIONAL_STOCK,措施,下发国家应急物资调用指令
MEA_START_24H_DUTY,措施,启动24小时值班制
MEA_HOLD_VIDEO_MEETING,措施,召开电话或视频会议
MEA_MOBILIZE_FOR_RESPONSE,措施,调集力量开展应急处置
MEA_CONTROL_SITUATION,措施,控制事态发展
MEA_NETWORK_DIVERSION,措施,实施跨区域公路网绕行分流
MEA_BUILD_COORDINATION_MECHANISM,措施,建立协调机制
MEA_BUILD_JOINT_COMMAND,措施,建立联合调度指挥机制
MEA_USE_NATIONAL_STOCK,措施,调用国家公路交通应急物资储备
MEA_BUILD_MUTUAL_AID,措施,建立省际应急资源互助机制
MEA_ANNOUNCE_RESPONSE_END,措施,宣布应急响应结束
MEA_TRANSPORT_RELIEF,措施,组织运送救灾物资
MEA_TRANSPORT_DAILY_SUPPLIES,措施,组织运送生活必需品
MEA_TRANSPORT_DONATIONS,措施,组织运送社会捐赠物品
MEA_BASIC_LIFE_SUPPORT,措施,保障群众基本生活
MEA_SUBSIDY_AND_PENSION,措施,给予补助和抚恤
MEA_COMPENSATE_REQUISITION,措施,实施征用补偿
MEA_RELEASE_EVENT_INFO,措施,发布突发事件信息
MEA_RELEASE_WARN_NOTICE,措施,发布预警启动公告
MEA_RELEASE_RESP_NOTICE,措施,发布响应启动公告
MEA_RELEASE_WARN_END,措施,发布预警终止公告
MEA_RELEASE_RESP_END,措施,发布响应终止公告
MEA_CLARIFY_FALSE_REPORT,措施,澄清错误报道
MEA_JOINT_PRESS_CONFERENCE,措施,组织联席新闻发布会
MEA_BUILD_RESCUE_TEAM,措施,组建应急抢险保通队伍
MEA_BUILD_TRANSPORT_TEAM,措施,组建应急运输保障队伍
MEA_BUILD_TRANSPORT_RESERVE,措施,建立应急运力储备
MEA_MOBILIZE_SOCIAL_FORCE,措施,动员社会力量
MEA_ACCIDENT_INSURANCE,措施,投保人身意外险
MEA_STOCKPILE_SUPPLIES,措施,储备应急物资
MEA_STOCKPILE_MACHINERY,措施,储备应急机械
MEA_BUILD_PLATFORM,措施,建立公路交通应急平台
MEA_BUILD_INFO_SHARING,措施,建立信息共享机制
MEA_CAPABILITY_ASSESSMENT,措施,开展应急能力评估
MEA_REVISE_PLAN,措施,修订应急预案
MEA_UPDATE_PLAN,措施,更新应急预案
ORG_MOT,部门,交通运输部
ORG_TRANSPORT_AUTHORITY,部门,交通运输主管部门
ORG_STATE_COUNCIL,部门,国务院
ORG_STATE_EMERGENCY,部门,国务院应急管理机构
ORG_STATE_EMERGENCY,部门,国务院应急管理部门
ORG_NATIONAL_EMERGENCY_AUTH,部门,国家公路交通应急管理机构
ORG_LOCAL_EMERGENCY_AUTH,部门,地方公路交通应急管理机构
ORG_PROVINCIAL_TRANSPORT,部门,省级交通运输主管部门
ORG_MUNICIPAL_TRANSPORT,部门,市级交通运输主管部门
ORG_COUNTY_TRANSPORT,部门,县级交通运输主管部门
ORG_LEAD_GROUP,部门,应急领导小组
ORG_LEAD_GROUP,部门,公路交通突发事件应急工作领导小组
ORG_WORK_GROUP,部门,应急工作组
ORG_COORDINATION_GROUP,部门,综合协调小组
ORG_ROAD_CLEARANCE_GROUP,部门,公路抢通小组
ORG_TRANSPORT_SUPPORT_GROUP,部门,运输保障小组
ORG_COMM_GROUP,部门,通信保障小组
ORG_NEWS_GROUP,部门,新闻宣传小组
ORG_LOGISTICS_GROUP,部门,后勤保障小组
ORG_RECONSTRUCTION_GROUP,部门,恢复重建小组
ORG_EVALUATION_GROUP,部门,总结评估小组
ORG_ROUTE_CENTER,部门,路网中心
ORG_ROUTE_CENTER,部门,公路网管理与应急处置中心
ORG_EXPERT_GROUP,部门,专家咨询组
ORG_FIELD_TEAM,部门,现场工作组
ORG_MPS,部门,公安部
ORG_TRAFFIC_POLICE,部门,公安交警
ORG_CIVIL_AFFAIRS,部门,民政部门
ORG_MFA,部门,外交部
ORG_PAP_TRANSPORT,部门,武警交通部队
ORG_PLA,部门,人民解放军
ORG_PAP,部门,武警部队
ORG_ROAD_MAINTENANCE,部门,公路养护管理部门
ORG_ROAD_ADMIN,部门,路政管理部门
ORG_ROAD_OPERATOR,部门,公路经营管理单位
ORG_MAINTENANCE_ENTERPRISE,部门,公路养护工程企业
ORG_TRANSPORT_ENTERPRISE,部门,道路客货运输企业
ORG_TRANSPORT_COMPANY,部门,公路交通运输企业
RES_BUDGET,应急资源,应急经费预算
RES_EMERGENCY_RESOURCE,应急资源,应急保障资源
RES_CROSS_PROVINCE_TEAM,应急资源,跨省应急队伍
RES_EQUIPMENT_SUPPLIES,应急资源,应急机械及物资
RES_RESCUE_FUNDS,应急资源,抢险救灾资金
RES_NATIONAL_STOCK,应急资源,国家公路交通应急物资储备
RES_RELIEF_SUPPLIES,应急资源,救灾物资
RES_DAILY_SUPPLIES,应急资源,生活必需品
RES_DONATIONS,应急资源,社会捐赠物品
RES_EMERGENCY_VEHICLE,应急资源,应急运输车辆
RES_TRANSPORT_RESERVE,应急资源,应急运力储备
RES_COMMAND_SITE,应急资源,应急指挥场所
RES_MOBILE_PLATFORM,应急资源,移动应急平台
RES_ASPHALT,应急资源,沥青
RES_GRAVEL,应急资源,碎石
RES_SAND_STONE,应急资源,砂石
RES_CEMENT,应急资源,水泥
RES_STEEL_BRIDGE,应急资源,钢桥
RES_STEEL_PLATE,应急资源,钢板
RES_TIMBER,应急资源,木材
RES_WOVEN_BAG,应急资源,编织袋
RES_SNOW_AGENT,应急资源,融雪剂
RES_ANTISKID,应急资源,防滑料
RES_OIL_ABSORBENT,应急资源,吸油材料
RES_CONVENIENCE_FOOD,应急资源,方便食品
RES_WATER,应急资源,饮水
RES_PROTECTIVE_GEAR,应急资源,防护衣物及装备
RES_MEDICINE,应急资源,医药
RES_LIGHTING,应急资源,照明
RES_TENT,应急资源,帐篷
RES_FUEL,应急资源,燃料
RES_SAFETY_SIGN,应急资源,安全标志
RES_TOOLKIT,应急资源,车辆防护器材及常用维修工具
RES_RESCUE_VEHICLE,应急资源,应急救援车辆
RES_EXCAVATOR,应急资源,挖掘机
RES_LOADER,应急资源,装载机
RES_GRADER,应急资源,平地机
RES_SPREADER,应急资源,撒布机
RES_CRANE,应急资源,汽车起重机
RES_SNOWPLOW,应急资源,清雪车
RES_FLATBED,应急资源,平板拖车
RES_FUEL_TRUCK,应急资源,运油车
RES_GENERATOR,应急资源,发电机
RES_PUMP,应急资源,大功率移动式水泵
RES_PERSONNEL,应急资源,人员
RES_VEHICLES,应急资源,车辆
RES_EQUIPMENT,应急资源,装备
RES_SUPPLIES,应急资源,物资
RES_STOCK_SUPPLIES,应急资源,储备物资
RES_STOCK_SITE,应急资源,国家公路交通应急物资储备点
RES_EMERGENCY_PLATFORM,应急资源,公路交通应急平台
