id:ID,name,entity_type_cn,:LABEL
RES_CASE_056D880291,甲醛,应急资源,PlanEntity;Resource
RES_CASE_42E3A09DF1,隧道,应急资源,PlanEntity;Resource
MEA_CASE_26F6CA0D04,堵漏处置,措施,PlanEntity;Action
MEA_CASE_7B049C8E34,排烟通风,措施,PlanEntity;Action
MEA_CASE_1F94E0BD1F,安全转运,措施,PlanEntity;Action
EVT_CASE_0B82C87221,山体滑坡掩埋车辆,突发事件,PlanEntity;Event
EVT_CASE_67892ECD63,高速公路碰撞事故,突发事件,PlanEntity;Event
EVT_CASE_8D34029A60,桥梁车辆坠江,突发事件,PlanEntity;Event
EVT_CASE_427F0A2151,桥梁护栏破损,突发事件,PlanEntity;Event
ORG_CASE_CECFFFD120,消防救援队伍,部门,PlanEntity;Department
ORG_CASE_8AC66820B8,气象部门,部门,PlanEntity;Department
MEA_CASE_B9C3743B4E,封闭路段,措施,PlanEntity;Action
MEA_CASE_13F54D4CC6,疏导车辆,措施,PlanEntity;Action
MEA_CASE_494ABBE9EA,清理应急车道,措施,PlanEntity;Action
MEA_CASE_AC3160A04E,解救被困人员,措施,PlanEntity;Action
MEA_CASE_6C77974E84,排查起火隐患,措施,PlanEntity;Action
MEA_CASE_6933DFD8F9,事故调查,措施,PlanEntity;Action
EVT_CASE_23EE1D84BC,危化品运输车辆与火车碰撞,突发事件,PlanEntity;Event
EVT_CASE_6E479B6FD4,拖拉机翻车,突发事件,PlanEntity;Event
MEA_CASE_C84BF577DD,违规载人,措施,PlanEntity;Action
MEA_CASE_AD66F64BE8,电路短路,措施,PlanEntity;Action
EVT_VEHICLE_BACKLOG,车辆积压,突发事件,PlanEntity;Event
