id:ID,name,entity_type_cn,:LABEL
EVT_CASE_48C1544FE8,静电火花,突发事件,PlanEntity;Event
MEA_CASE_B2F8706E19,绕行,措施,PlanEntity;Action
MEA_CASE_44EB3016DE,调查,措施,PlanEntity;Action
MEA_CASE_BCC6275A71,逆向行驶,措施,PlanEntity;Action
EVT_CASE_98E1B4C0E6,车辆刹车过热起火,突发事件,PlanEntity;Event
MEA_CASE_B9C3743B4E,封闭路段,措施,PlanEntity;Action
MEA_CASE_ED27AE6814,扑灭明火,措施,PlanEntity;Action
MEA_CASE_3806ED90C6,清理残骸,措施,PlanEntity;Action
MEA_CASE_9A7E96576A,监测火情,措施,PlanEntity;Action
ORG_CASE_0FFC56FE82,学校,部门,PlanEntity;Department
EVT_CASE_2A358DF957,道路潮汐淹没车辆被困,突发事件,PlanEntity;Event
EVT_CASE_3DADFD6D44,潮汐,突发事件,PlanEntity;Event
RES_CASE_1AD52D2DA5,冲锋舟,应急资源,PlanEntity;Resource
MEA_CASE_CE6589A97A,车辆转移,措施,PlanEntity;Action
EVT_CASE_4E5DB8871B,桥面铺装受损,突发事件,PlanEntity;Event
RES_CASE_B5C1512C08,大桥,应急资源,PlanEntity;Resource
ORG_CASE_A72E11B477,供电部门,部门,PlanEntity;Department
MEA_CASE_7F1E894CA7,修复线路,措施,PlanEntity;Action
EVT_CASE_204F98C6FB,路面融沉,突发事件,PlanEntity;Event
EVT_CASE_53582A46B0,车辆碰撞施工设施,突发事件,PlanEntity;Event
MEA_CASE_B9DE1F48C8,酒后驾驶,措施,PlanEntity;Action
MEA_CASE_61B18C2460,车辆故障,措施,PlanEntity;Action
MEA_CASE_7582192483,抛锚,措施,PlanEntity;Action
MEA_CASE_317F491222,冲撞人流,措施,PlanEntity;Action
MEA_CASE_B889F74BC7,剐蹭摊位,措施,PlanEntity;Action
RES_CASE_A35E463D8D,乡镇卫生院救护车,应急资源,PlanEntity;Resource
EVT_CASE_8E0C915D4D,ETC设备故障,突发事件,PlanEntity;Event
MEA_CASE_06D490F10A,违规倒车,措施,PlanEntity;Action
EVT_CASE_55EC55B4DA,消防通道堵塞,突发事件,PlanEntity;Event
RES_CASE_B6DB55CC3C,消防车,应急资源,PlanEntity;Resource
MEA_CASE_8FF9372275,消防救援,措施,PlanEntity;Action
EVT_CASE_69B12C85A5,车辆陷沙,突发事件,PlanEntity;Event
RES_CASE_0FE3AC754E,塔克拉玛干沙漠公路,应急资源,PlanEntity;Resource
ORG_CASE_CEC90B79B9,沙漠应急救援队伍,部门,PlanEntity;Department
MEA_CASE_54A66F8CF9,补水,措施,PlanEntity;Action
MEA_CASE_E291015EBA,降温,措施,PlanEntity;Action
MEA_CASE_24BABF9F02,增设警示标志,措施,PlanEntity;Action
EVT_CASE_9197CC1E77,三轮车侧翻,突发事件,PlanEntity;Event
EVT_CASE_C562521519,暗冰,突发事件,PlanEntity;Event
MEA_CASE_CD64025533,车辆失控,措施,PlanEntity;Action
EVT_CASE_15158B7693,滚装船装卸作业中断,突发事件,PlanEntity;Event
ORG_CASE_082BF93965,高架管理部门,部门,PlanEntity;Department
MEA_CASE_8130295826,排查,措施,PlanEntity;Action
EVT_CASE_9463A9FF31,浓烟引发多车碰撞,突发事件,PlanEntity;Event
EVT_CASE_FB762392BF,秸秆焚烧,突发事件,PlanEntity;Event
ORG_CASE_FAF634A5C6,乡镇政府,部门,PlanEntity;Department
ORG_CASE_ADBA4CCEE2,派出所,部门,PlanEntity;Department
MEA_CASE_7273C6481F,违规变道,措施,PlanEntity;Action
RES_CASE_AA3D1994D1,道路养护车,应急资源,PlanEntity;Resource
EVT_CASE_F78D7DF899,轮椅车侧翻,突发事件,PlanEntity;Event
EVT_CASE_3D68393BCE,车辆冲撞,突发事件,PlanEntity;Event
RES_CASE_A5DA8B7EB3,巡逻车,应急资源,PlanEntity;Resource
MEA_CASE_FAA92C55C2,车辆冲撞,措施,PlanEntity;Action
ORG_CASE_64B9E8A517,高速管理部门,部门,PlanEntity;Department
MEA_CASE_99ADE4B56A,封闭车道,措施,PlanEntity;Action
MEA_CASE_AC3160A04E,解救被困人员,措施,PlanEntity;Action
MEA_CASE_9DAD37DB50,清理构件,措施,PlanEntity;Action
MEA_CASE_B7D8069B0C,恢复车道通行,措施,PlanEntity;Action
EVT_CASE_C45427F8BE,蜜蜂逃逸,突发事件,PlanEntity;Event
EVT_CASE_C0A6B988AE,人员被蜇伤,突发事件,PlanEntity;Event
EVT_CASE_028CA28AE4,车辆拥堵,突发事件,PlanEntity;Event
EVT_CASE_449056D669,雪崩,突发事件,PlanEntity;Event
EVT_CASE_739C5A3635,强降雪,突发事件,PlanEntity;Event
EVT_CASE_32CFF871B5,道路阻断,突发事件,PlanEntity;Event
MEA_CASE_D39A7F36A4,右转,措施,PlanEntity;Action
RES_CASE_26F80A5E99,重型厢式货车,应急资源,PlanEntity;Resource
MEA_CASE_4896A23CBC,车辆绕行,措施,PlanEntity;Action
EVT_CASE_FC606124D9,烤烟运输车起火,突发事件,PlanEntity;Event
MEA_CASE_0542A5288E,起火,措施,PlanEntity;Action
RES_CASE_6544C21712,烤烟,应急资源,PlanEntity;Resource
MEA_CASE_72E84ECB20,道路封闭,措施,PlanEntity;Action
EVT_CASE_0803F70AB8,轨道交通入侵,突发事件,PlanEntity;Event
EVT_CASE_6B68F24652,暴风雪天气导致的道路交通中断,突发事件,PlanEntity;Event
EVT_CASE_F4732BEE88,暴风雪,突发事件,PlanEntity;Event
RES_CASE_E2EABB49A8,青藏高原国道,应急资源,PlanEntity;Resource
EVT_CASE_9DEA800219,设备坠落伤人,突发事件,PlanEntity;Event
RES_CASE_1CE304F952,液压尾板,应急资源,PlanEntity;Resource
EVT_CASE_C5E3DDA812,液压油管爆裂,突发事件,PlanEntity;Event
MEA_CASE_2F25F27432,紧急救治,措施,PlanEntity;Action
